Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2016Q4,Invisibles,-33258
"Current, Capital and Financial Account Balances BPM6",2016Q4,Secondary income,-1205
"Current, Capital and Financial Account Balances BPM6",2016Q4,Financial account,2182
"Current, Capital and Financial Account Balances BPM6",2016Q4,Net Errors and omissions,8634
"Current, Capital and Financial Account Balances BPM6",2016Q4,Direct investment,1020
"Current, Capital and Financial Account Balances BPM6",2016Q4,Portfolio investment,23729
"Current, Capital and Financial Account Balances BPM6",2016Q4,Other investment,-22772
"Current, Capital and Financial Account Balances BPM6",2017Q1,Current account,6597
"Current, Capital and Financial Account Balances BPM6",2017Q1,Capital account,-8538
"Current, Capital and Financial Account Balances BPM6",2017Q1,Merchandise,24968
"Current, Capital and Financial Account Balances BPM6",2017Q1,Services,-1314
"Current, Capital and Financial Account Balances BPM6",2017Q1,Primary income,-16441
"Current, Capital and Financial Account Balances BPM6",2017Q1,Invisibles,-18371
"Current, Capital and Financial Account Balances BPM6",2017Q1,Secondary income,-616
"Current, Capital and Financial Account Balances BPM6",2017Q1,Financial account,-11206
"Current, Capital and Financial Account Balances BPM6",2017Q1,Net Errors and omissions,-9265
"Current, Capital and Financial Account Balances BPM6",2017Q1,Direct investment,-6608
"Current, Capital and Financial Account Balances BPM6",2017Q1,Portfolio investment,-14015
"Current, Capital and Financial Account Balances BPM6",2017Q1,Other investment,9518
"Current, Capital and Financial Account Balances BPM6",2017Q2,Current account,-31349
"Current, Capital and Financial Account Balances BPM6",2017Q2,Capital account,-12079
"Current, Capital and Financial Account Balances BPM6",2017Q2,Merchandise,24327
"Current, Capital and Financial Account Balances BPM6",2017Q2,Services,-36726
"Current, Capital and Financial Account Balances BPM6",2017Q2,Primary income,-17781
"Current, Capital and Financial Account Balances BPM6",2017Q2,Invisibles,-55677
"Current, Capital and Financial Account Balances BPM6",2017Q2,Secondary income,-1170
"Current, Capital and Financial Account Balances BPM6",2017Q2,Financial account,-34333
"Current, Capital and Financial Account Balances BPM6",2017Q2,Net Errors and omissions,9095
"Current, Capital and Financial Account Balances BPM6",2017Q2,Direct investment,-24153
"Current, Capital and Financial Account Balances BPM6",2017Q2,Portfolio investment,-39145
"Current, Capital and Financial Account Balances BPM6",2017Q2,Other investment,28803
"Current, Capital and Financial Account Balances BPM6",2017Q3,Current account,14857
"Current, Capital and Financial Account Balances BPM6",2017Q3,Capital account,-4640
"Current, Capital and Financial Account Balances BPM6",2017Q3,Merchandise,28445
"Current, Capital and Financial Account Balances BPM6",2017Q3,Services,2205
"Current, Capital and Financial Account Balances BPM6",2017Q3,Primary income,-15168
"Current, Capital and Financial Account Balances BPM6",2017Q3,Invisibles,-13589
"Current, Capital and Financial Account Balances BPM6",2017Q3,Secondary income,-626
"Current, Capital and Financial Account Balances BPM6",2017Q3,Financial account,885
"Current, Capital and Financial Account Balances BPM6",2017Q3,Net Errors and omissions,-9332
"Current, Capital and Financial Account Balances BPM6",2017Q3,Direct investment,2681
"Current, Capital and Financial Account Balances BPM6",2017Q3,Portfolio investment,9996
"Current, Capital and Financial Account Balances BPM6",2017Q3,Other investment,-12027
"Current, Capital and Financial Account Balances BPM6",2017Q4,Current account,13423
"Current, Capital and Financial Account Balances BPM6",2017Q4,Capital account,-598
"Current, Capital and Financial Account Balances BPM6",2017Q4,Merchandise,30504
"Current, Capital and Financial Account Balances BPM6",2017Q4,Services,638
"Current, Capital and Financial Account Balances BPM6",2017Q4,Primary income,-17025
"Current, Capital and Financial Account Balances BPM6",2017Q4,Invisibles,-17081
"Current, Capital and Financial Account Balances BPM6",2017Q4,Secondary income,-694
"Current, Capital and Financial Account Balances BPM6",2017Q4,Financial account,22099
"Current, Capital and Financial Account Balances BPM6",2017Q4,Net Errors and omissions,9274
"Current, Capital and Financial Account Balances BPM6",2017Q4,Direct investment,-34193
"Current, Capital and Financial Account Balances BPM6",2017Q4,Portfolio investment,8664
"Current, Capital and Financial Account Balances BPM6",2017Q4,Other investment,47527
"Current, Capital and Financial Account Balances BPM6",2018Q1,Current account,9655
"Current, Capital and Financial Account Balances BPM6",2018Q1,Capital account,-109
"Current, Capital and Financial Account Balances BPM6",2018Q1,Merchandise,28269
"Current, Capital and Financial Account Balances BPM6",2018Q1,Services,2290
"Current, Capital and Financial Account Balances BPM6",2018Q1,Primary income,-19930
"Current, Capital and Financial Account Balances BPM6",2018Q1,Invisibles,-18614
"Current, Capital and Financial Account Balances BPM6",2018Q1,Secondary income,-974
"Current, Capital and Financial Account Balances BPM6",2018Q1,Financial account,305
"Current, Capital and Financial Account Balances BPM6",2018Q1,Net Errors and omissions,-9241
"Current, Capital and Financial Account Balances BPM6",2018Q1,Direct investment,15470
"Current, Capital and Financial Account Balances BPM6",2018Q1,Portfolio investment,20655
"Current, Capital and Financial Account Balances BPM6",2018Q1,Other investment,-35824
"Current, Capital and Financial Account Balances BPM6",2018Q2,Current account,9389
"Current, Capital and Financial Account Balances BPM6",2018Q2,Capital account,59
"Current, Capital and Financial Account Balances BPM6",2018Q2,Merchandise,27912
"Current, Capital and Financial Account Balances BPM6",2018Q2,Services,1604
"Current, Capital and Financial Account Balances BPM6",2018Q2,Primary income,-19068
"Current, Capital and Financial Account Balances BPM6",2018Q2,Invisibles,-18524
"Current, Capital and Financial Account Balances BPM6",2018Q2,Secondary income,-1060
"Current, Capital and Financial Account Balances BPM6",2018Q2,Financial account,14847
"Current, Capital and Financial Account Balances BPM6",2018Q2,Net Errors and omissions,5399
"Current, Capital and Financial Account Balances BPM6",2018Q2,Direct investment,7736
"Current, Capital and Financial Account Balances BPM6",2018Q2,Portfolio investment,-15699
"Current, Capital and Financial Account Balances BPM6",2018Q2,Other investment,22818
"Current, Capital and Financial Account Balances BPM6",2018Q3,Current account,9766
"Current, Capital and Financial Account Balances BPM6",2018Q3,Capital account,63
"Current, Capital and Financial Account Balances BPM6",2018Q3,Merchandise,27126
"Current, Capital and Financial Account Balances BPM6",2018Q3,Services,2911
"Current, Capital and Financial Account Balances BPM6",2018Q3,Primary income,-19441
"Current, Capital and Financial Account Balances BPM6",2018Q3,Invisibles,-17360
"Current, Capital and Financial Account Balances BPM6",2018Q3,Secondary income,-830
"Current, Capital and Financial Account Balances BPM6",2018Q3,Financial account,5534
"Current, Capital and Financial Account Balances BPM6",2018Q3,Net Errors and omissions,-4295
"Current, Capital and Financial Account Balances BPM6",2018Q3,Direct investment,10896
"Current, Capital and Financial Account Balances BPM6",2018Q3,Portfolio investment,8067
"Current, Capital and Financial Account Balances BPM6",2018Q3,Other investment,-13626
"Current, Capital and Financial Account Balances BPM6",2018Q4,Current account,-14440
"Current, Capital and Financial Account Balances BPM6",2018Q4,Capital account,-52032
"Current, Capital and Financial Account Balances BPM6",2018Q4,Merchandise,25288
"Current, Capital and Financial Account Balances BPM6",2018Q4,Services,-16590
"Current, Capital and Financial Account Balances BPM6",2018Q4,Primary income,-22347
"Current, Capital and Financial Account Balances BPM6",2018Q4,Invisibles,-39729
"Current, Capital and Financial Account Balances BPM6",2018Q4,Secondary income,-792
"Current, Capital and Financial Account Balances BPM6",2018Q4,Financial account,-58541
"Current, Capital and Financial Account Balances BPM6",2018Q4,Net Errors and omissions,7931
"Current, Capital and Financial Account Balances BPM6",2018Q4,Direct investment,-25078
"Current, Capital and Financial Account Balances BPM6",2018Q4,Portfolio investment,26867
"Current, Capital and Financial Account Balances BPM6",2018Q4,Other investment,-60901
"Current, Capital and Financial Account Balances BPM6",2019Q1,Current account,8620
"Current, Capital and Financial Account Balances BPM6",2019Q1,Capital account,-6936
"Current, Capital and Financial Account Balances BPM6",2019Q1,Merchandise,30338
"Current, Capital and Financial Account Balances BPM6",2019Q1,Services,1646
"Current, Capital and Financial Account Balances BPM6",2019Q1,Primary income,-22020
"Current, Capital and Financial Account Balances BPM6",2019Q1,Invisibles,-21718
"Current, Capital and Financial Account Balances BPM6",2019Q1,Secondary income,-1344
"Current, Capital and Financial Account Balances BPM6",2019Q1,Financial account,14228
"Current, Capital and Financial Account Balances BPM6",2019Q1,Net Errors and omissions,12544
"Current, Capital and Financial Account Balances BPM6",2019Q1,Direct investment,8739
"Current, Capital and Financial Account Balances BPM6",2019Q1,Portfolio investment,5672
"Current, Capital and Financial Account Balances BPM6",2019Q1,Other investment,-175
"Current, Capital and Financial Account Balances BPM6",2019Q2,Current account,-34950
"Current, Capital and Financial Account Balances BPM6",2019Q2,Capital account,-17385
"Current, Capital and Financial Account Balances BPM6",2019Q2,Merchandise,26916
"Current, Capital and Financial Account Balances BPM6",2019Q2,Services,-37315
"Current, Capital and Financial Account Balances BPM6",2019Q2,Primary income,-23925
"Current, Capital and Financial Account Balances BPM6",2019Q2,Invisibles,-61866
"Current, Capital and Financial Account Balances BPM6",2019Q2,Secondary income,-626
"Current, Capital and Financial Account Balances BPM6",2019Q2,Financial account,-53802
"Current, Capital and Financial Account Balances BPM6",2019Q2,Net Errors and omissions,-1467
"Current, Capital and Financial Account Balances BPM6",2019Q2,Direct investment,-51647
"Current, Capital and Financial Account Balances BPM6",2019Q2,Portfolio investment,-16764
"Current, Capital and Financial Account Balances BPM6",2019Q2,Other investment,14493
"Current, Capital and Financial Account Balances BPM6",2019Q3,Current account,10361
"Current, Capital and Financial Account Balances BPM6",2019Q3,Capital account,-5093
"Current, Capital and Financial Account Balances BPM6",2019Q3,Merchandise,31036
"Current, Capital and Financial Account Balances BPM6",2019Q3,Services,2720
"Current, Capital and Financial Account Balances BPM6",2019Q3,Primary income,-22544
"Current, Capital and Financial Account Balances BPM6",2019Q3,Invisibles,-20674
"Current, Capital and Financial Account Balances BPM6",2019Q3,Secondary income,-850
"Current, Capital and Financial Account Balances BPM6",2019Q3,Financial account,-4922
"Current, Capital and Financial Account Balances BPM6",2019Q3,Net Errors and omissions,-10190
"Current, Capital and Financial Account Balances BPM6",2019Q3,Direct investment,-3093
"Current, Capital and Financial Account Balances BPM6",2019Q3,Portfolio investment,-7609
"Current, Capital and Financial Account Balances BPM6",2019Q3,Other investment,5636
"Current, Capital and Financial Account Balances BPM6",2019Q4,Current account,-59400
"Current, Capital and Financial Account Balances BPM6",2019Q4,Capital account,-5896
"Current, Capital and Financial Account Balances BPM6",2019Q4,Merchandise,28975
"Current, Capital and Financial Account Balances BPM6",2019Q4,Services,-66870
"Current, Capital and Financial Account Balances BPM6",2019Q4,Primary income,-20846
"Current, Capital and Financial Account Balances BPM6",2019Q4,Invisibles,-88375
"Current, Capital and Financial Account Balances BPM6",2019Q4,Secondary income,-659
"Current, Capital and Financial Account Balances BPM6",2019Q4,Financial account,-62442
"Current, Capital and Financial Account Balances BPM6",2019Q4,Net Errors and omissions,2854
"Current, Capital and Financial Account Balances BPM6",2019Q4,Direct investment,-69721
"Current, Capital and Financial Account Balances BPM6",2019Q4,Portfolio investment,31336
"Current, Capital and Financial Account Balances BPM6",2019Q4,Other investment,-24226
"Current, Capital and Financial Account Balances BPM6",2020Q1,Current account,-47277
"Current, Capital and Financial Account Balances BPM6",2020Q1,Capital account,-3061
"Current, Capital and Financial Account Balances BPM6",2020Q1,Merchandise,36197
"Current, Capital and Financial Account Balances BPM6",2020Q1,Services,-57566
"Current, Capital and Financial Account Balances BPM6",2020Q1,Primary income,-24838
"Current, Capital and Financial Account Balances BPM6",2020Q1,Invisibles,-83473
"Current, Capital and Financial Account Balances BPM6",2020Q1,Secondary income,-1069
"Current, Capital and Financial Account Balances BPM6",2020Q1,Financial account,-58695
"Current, Capital and Financial Account Balances BPM6",2020Q1,Net Errors and omissions,-8357
"Current, Capital and Financial Account Balances BPM6",2020Q1,Direct investment,-49575
"Current, Capital and Financial Account Balances BPM6",2020Q1,Portfolio investment,-82024
"Current, Capital and Financial Account Balances BPM6",2020Q1,Other investment,72766
"Current, Capital and Financial Account Balances BPM6",2020Q2,Current account,11743
"Current, Capital and Financial Account Balances BPM6",2020Q2,Capital account,-7552
"Current, Capital and Financial Account Balances BPM6",2020Q2,Merchandise,34324
"Current, Capital and Financial Account Balances BPM6",2020Q2,Services,2688
"Current, Capital and Financial Account Balances BPM6",2020Q2,Primary income,-24286
"Current, Capital and Financial Account Balances BPM6",2020Q2,Invisibles,-22580
"Current, Capital and Financial Account Balances BPM6",2020Q2,Secondary income,-982
"Current, Capital and Financial Account Balances BPM6",2020Q2,Financial account,8110
"Current, Capital and Financial Account Balances BPM6",2020Q2,Net Errors and omissions,3919
"Current, Capital and Financial Account Balances BPM6",2020Q2,Direct investment,-49604
"Current, Capital and Financial Account Balances BPM6",2020Q2,Portfolio investment,59979
"Current, Capital and Financial Account Balances BPM6",2020Q2,Other investment,-2251
"Current, Capital and Financial Account Balances BPM6",2020Q3,Current account,10883
"Current, Capital and Financial Account Balances BPM6",2020Q3,Capital account,-2080
"Current, Capital and Financial Account Balances BPM6",2020Q3,Merchandise,37523
"Current, Capital and Financial Account Balances BPM6",2020Q3,Services,4852
"Current, Capital and Financial Account Balances BPM6",2020Q3,Primary income,-30755
"Current, Capital and Financial Account Balances BPM6",2020Q3,Invisibles,-26639
"Current, Capital and Financial Account Balances BPM6",2020Q3,Secondary income,-736
"Current, Capital and Financial Account Balances BPM6",2020Q3,Financial account,3184
"Current, Capital and Financial Account Balances BPM6",2020Q3,Net Errors and omissions,-5619
"Current, Capital and Financial Account Balances BPM6",2020Q3,Direct investment,-9988
"Current, Capital and Financial Account Balances BPM6",2020Q3,Portfolio investment,-6585
"Current, Capital and Financial Account Balances BPM6",2020Q3,Other investment,18997
"Current, Capital and Financial Account Balances BPM6",2020Q4,Current account,-2373
"Current, Capital and Financial Account Balances BPM6",2020Q4,Capital account,816
"Current, Capital and Financial Account Balances BPM6",2020Q4,Merchandise,34401
"Current, Capital and Financial Account Balances BPM6",2020Q4,Services,-12852
"Current, Capital and Financial Account Balances BPM6",2020Q4,Primary income,-22877
"Current, Capital and Financial Account Balances BPM6",2020Q4,Invisibles,-36774
"Current, Capital and Financial Account Balances BPM6",2020Q4,Secondary income,-1045
"Current, Capital and Financial Account Balances BPM6",2020Q4,Financial account,4827
"Current, Capital and Financial Account Balances BPM6",2020Q4,Net Errors and omissions,6384
"Current, Capital and Financial Account Balances BPM6",2020Q4,Direct investment,4027
"Current, Capital and Financial Account Balances BPM6",2020Q4,Portfolio investment,20272
"Current, Capital and Financial Account Balances BPM6",2020Q4,Other investment,-19869
"Current, Capital and Financial Account Balances BPM6",2021Q1,Current account,15682
"Current, Capital and Financial Account Balances BPM6",2021Q1,Capital account,2974
"Current, Capital and Financial Account Balances BPM6",2021Q1,Merchandise,42172
"Current, Capital and Financial Account Balances BPM6",2021Q1,Services,9412
"Current, Capital and Financial Account Balances BPM6",2021Q1,Primary income,-34612
"Current, Capital and Financial Account Balances BPM6",2021Q1,Invisibles,-26490
"Current, Capital and Financial Account Balances BPM6",2021Q1,Secondary income,-1290
"Current, Capital and Financial Account Balances BPM6",2021Q1,Financial account,9906
"Current, Capital and Financial Account Balances BPM6",2021Q1,Net Errors and omissions,-8750
"Current, Capital and Financial Account Balances BPM6",2021Q1,Direct investment,15274
"Current, Capital and Financial Account Balances BPM6",2021Q1,Portfolio investment,16826
"Current, Capital and Financial Account Balances BPM6",2021Q1,Other investment,-22368
"Current, Capital and Financial Account Balances BPM6",2021Q2,Current account,15146
"Current, Capital and Financial Account Balances BPM6",2021Q2,Capital account,914
"Current, Capital and Financial Account Balances BPM6",2021Q2,Merchandise,39900
"Current, Capital and Financial Account Balances BPM6",2021Q2,Services,9527
"Current, Capital and Financial Account Balances BPM6",2021Q2,Primary income,-33275
"Current, Capital and Financial Account Balances BPM6",2021Q2,Invisibles,-24754
"Current, Capital and Financial Account Balances BPM6",2021Q2,Secondary income,-1006
"Current, Capital and Financial Account Balances BPM6",2021Q2,Financial account,21386
"Current, Capital and Financial Account Balances BPM6",2021Q2,Net Errors and omissions,5326
"Current, Capital and Financial Account Balances BPM6",2021Q2,Direct investment,3022
"Current, Capital and Financial Account Balances BPM6",2021Q2,Portfolio investment,-4691
"Current, Capital and Financial Account Balances BPM6",2021Q2,Other investment,22982
"Current, Capital and Financial Account Balances BPM6",2021Q3,Current account,20816
"Current, Capital and Financial Account Balances BPM6",2021Q3,Capital account,-333
"Current, Capital and Financial Account Balances BPM6",2021Q3,Merchandise,45021
"Current, Capital and Financial Account Balances BPM6",2021Q3,Services,9529
"Current, Capital and Financial Account Balances BPM6",2021Q3,Primary income,-33039
"Current, Capital and Financial Account Balances BPM6",2021Q3,Invisibles,-24205
"Current, Capital and Financial Account Balances BPM6",2021Q3,Secondary income,-695
"Current, Capital and Financial Account Balances BPM6",2021Q3,Financial account,12029
"Current, Capital and Financial Account Balances BPM6",2021Q3,Net Errors and omissions,-8454
"Current, Capital and Financial Account Balances BPM6",2021Q3,Direct investment,3382
"Current, Capital and Financial Account Balances BPM6",2021Q3,Portfolio investment,-6259
"Current, Capital and Financial Account Balances BPM6",2021Q3,Other investment,10825
"Current, Capital and Financial Account Balances BPM6",2021Q4,Current account,3004
"Current, Capital and Financial Account Balances BPM6",2021Q4,Capital account,-2053
"Current, Capital and Financial Account Balances BPM6",2021Q4,Merchandise,41322
"Current, Capital and Financial Account Balances BPM6",2021Q4,Services,-9600
"Current, Capital and Financial Account Balances BPM6",2021Q4,Primary income,-27273
"Current, Capital and Financial Account Balances BPM6",2021Q4,Invisibles,-38318
"Current, Capital and Financial Account Balances BPM6",2021Q4,Secondary income,-1445
"Current, Capital and Financial Account Balances BPM6",2021Q4,Financial account,9336
"Current, Capital and Financial Account Balances BPM6",2021Q4,Net Errors and omissions,8385
"Current, Capital and Financial Account Balances BPM6",2021Q4,Direct investment,19826
"Current, Capital and Financial Account Balances BPM6",2021Q4,Portfolio investment,-16354
"Current, Capital and Financial Account Balances BPM6",2021Q4,Other investment,5210
"Current, Capital and Financial Account Balances BPM6",2022Q1,Current account,14578
"Current, Capital and Financial Account Balances BPM6",2022Q1,Capital account,772
"Current, Capital and Financial Account Balances BPM6",2022Q1,Merchandise,46228
"Current, Capital and Financial Account Balances BPM6",2022Q1,Services,9386
"Current, Capital and Financial Account Balances BPM6",2022Q1,Primary income,-39858
"Current, Capital and Financial Account Balances BPM6",2022Q1,Invisibles,-31650
"Current, Capital and Financial Account Balances BPM6",2022Q1,Secondary income,-1178
"Current, Capital and Financial Account Balances BPM6",2022Q1,Financial account,19493
"Current, Capital and Financial Account Balances BPM6",2022Q1,Net Errors and omissions,4143
"Current, Capital and Financial Account Balances BPM6",2022Q1,Direct investment,16015
"Current, Capital and Financial Account Balances BPM6",2022Q1,Portfolio investment,-39856
"Current, Capital and Financial Account Balances BPM6",2022Q1,Other investment,43463
"Current, Capital and Financial Account Balances BPM6",2022Q2,Current account,12244
"Current, Capital and Financial Account Balances BPM6",2022Q2,Capital account,-124
"Current, Capital and Financial Account Balances BPM6",2022Q2,Merchandise,47812
"Current, Capital and Financial Account Balances BPM6",2022Q2,Services,3969
"Current, Capital and Financial Account Balances BPM6",2022Q2,Primary income,-38363
"Current, Capital and Financial Account Balances BPM6",2022Q2,Invisibles,-35568
"Current, Capital and Financial Account Balances BPM6",2022Q2,Secondary income,-1174
"Current, Capital and Financial Account Balances BPM6",2022Q2,Financial account,4048
"Current, Capital and Financial Account Balances BPM6",2022Q2,Net Errors and omissions,-8072
"Current, Capital and Financial Account Balances BPM6",2022Q2,Direct investment,22088
"Current, Capital and Financial Account Balances BPM6",2022Q2,Portfolio investment,-25022
"Current, Capital and Financial Account Balances BPM6",2022Q2,Other investment,6948
"Current, Capital and Financial Account Balances BPM6",2022Q3,Current account,10937
"Current, Capital and Financial Account Balances BPM6",2022Q3,Capital account,-878
"Current, Capital and Financial Account Balances BPM6",2022Q3,Merchandise,56515
"Current, Capital and Financial Account Balances BPM6",2022Q3,Services,1192
"Current, Capital and Financial Account Balances BPM6",2022Q3,Primary income,-45642
"Current, Capital and Financial Account Balances BPM6",2022Q3,Invisibles,-45578
"Current, Capital and Financial Account Balances BPM6",2022Q3,Secondary income,-1128
"Current, Capital and Financial Account Balances BPM6",2022Q3,Financial account,9923
"Current, Capital and Financial Account Balances BPM6",2022Q3,Net Errors and omissions,-136
"Current, Capital and Financial Account Balances BPM6",2022Q3,Direct investment,-25095
"Current, Capital and Financial Account Balances BPM6",2022Q3,Portfolio investment,-46790
"Current, Capital and Financial Account Balances BPM6",2022Q3,Other investment,81206
"Current, Capital and Financial Account Balances BPM6",2022Q4,Current account,7884
"Current, Capital and Financial Account Balances BPM6",2022Q4,Capital account,-697
"Current, Capital and Financial Account Balances BPM6",2022Q4,Merchandise,54578
"Current, Capital and Financial Account Balances BPM6",2022Q4,Services,-4849
"Current, Capital and Financial Account Balances BPM6",2022Q4,Primary income,-40621
"Current, Capital and Financial Account Balances BPM6",2022Q4,Invisibles,-46694
"Current, Capital and Financial Account Balances BPM6",2022Q4,Secondary income,-1224
"Current, Capital and Financial Account Balances BPM6",2022Q4,Financial account,10900
"Current, Capital and Financial Account Balances BPM6",2022Q4,Net Errors and omissions,3713
"Current, Capital and Financial Account Balances BPM6",2022Q4,Direct investment,11956
"Current, Capital and Financial Account Balances BPM6",2022Q4,Portfolio investment,-27127
"Current, Capital and Financial Account Balances BPM6",2022Q4,Other investment,26093
"Current, Capital and Financial Account Balances BPM6",2023Q1,Current account,11805
"Current, Capital and Financial Account Balances BPM6",2023Q1,Capital account,-437
"Current, Capital and Financial Account Balances BPM6",2023Q1,Merchandise,53764
"Current, Capital and Financial Account Balances BPM6",2023Q1,Services,1052
"Current, Capital and Financial Account Balances BPM6",2023Q1,Primary income,-41815
"Current, Capital and Financial Account Balances BPM6",2023Q1,Invisibles,-41959
"Current, Capital and Financial Account Balances BPM6",2023Q1,Secondary income,-1196
"Current, Capital and Financial Account Balances BPM6",2023Q1,Financial account,5723
"Current, Capital and Financial Account Balances BPM6",2023Q1,Net Errors and omissions,-5645
"Current, Capital and Financial Account Balances BPM6",2023Q1,Direct investment,13809
"Current, Capital and Financial Account Balances BPM6",2023Q1,Portfolio investment,-24222
"Current, Capital and Financial Account Balances BPM6",2023Q1,Other investment,16125
"Current, Capital and Financial Account Balances BPM6",2023Q2,Current account,11348
"Current, Capital and Financial Account Balances BPM6",2023Q2,Capital account,-5570
"Current, Capital and Financial Account Balances BPM6",2023Q2,Merchandise,35785
"Current, Capital and Financial Account Balances BPM6",2023Q2,Services,7184
"Current, Capital and Financial Account Balances BPM6",2023Q2,Primary income,-30460
"Current, Capital and Financial Account Balances BPM6",2023Q2,Invisibles,-24437
"Current, Capital and Financial Account Balances BPM6",2023Q2,Secondary income,-1161
"Current, Capital and Financial Account Balances BPM6",2023Q2,Financial account,3580
"Current, Capital and Financial Account Balances BPM6",2023Q2,Net Errors and omissions,-2198
"Current, Capital and Financial Account Balances BPM6",2023Q2,Direct investment,7979
"Current, Capital and Financial Account Balances BPM6",2023Q2,Portfolio investment,87024
"Current, Capital and Financial Account Balances BPM6",2023Q2,Other investment,-91396
"Current, Capital and Financial Account Balances BPM6",2023Q3,Current account,18629
"Current, Capital and Financial Account Balances BPM6",2023Q3,Capital account,-1683
"Current, Capital and Financial Account Balances BPM6",2023Q3,Merchandise,36843
"Current, Capital and Financial Account Balances BPM6",2023Q3,Services,10763
"Current, Capital and Financial Account Balances BPM6",2023Q3,Primary income,-27863
"Current, Capital and Financial Account Balances BPM6",2023Q3,Invisibles,-18213
"Current, Capital and Financial Account Balances BPM6",2023Q3,Secondary income,-1113
"Current, Capital and Financial Account Balances BPM6",2023Q3,Financial account,18387
"Current, Capital and Financial Account Balances BPM6",2023Q3,Net Errors and omissions,1441
"Current, Capital and Financial Account Balances BPM6",2023Q3,Direct investment,-20573
"Current, Capital and Financial Account Balances BPM6",2023Q3,Portfolio investment,44828
"Current, Capital and Financial Account Balances BPM6",2023Q3,Other investment,-5339
"Current, Capital and Financial Account Balances BPM6",2023Q4,Current account,-520
"Current, Capital and Financial Account Balances BPM6",2023Q4,Capital account,-973
"Current, Capital and Financial Account Balances BPM6",2023Q4,Merchandise,29667
"Current, Capital and Financial Account Balances BPM6",2023Q4,Services,-7280
"Current, Capital and Financial Account Balances BPM6",2023Q4,Primary income,-21524
"Current, Capital and Financial Account Balances BPM6",2023Q4,Invisibles,-30186
"Current, Capital and Financial Account Balances BPM6",2023Q4,Secondary income,-1382
"Current, Capital and Financial Account Balances BPM6",2023Q4,Financial account,9229
"Current, Capital and Financial Account Balances BPM6",2023Q4,Net Errors and omissions,10722
"Current, Capital and Financial Account Balances BPM6",2023Q4,Direct investment,11704
"Current, Capital and Financial Account Balances BPM6",2023Q4,Portfolio investment,-9079
"Current, Capital and Financial Account Balances BPM6",2023Q4,Other investment,6498
"Current, Capital and Financial Account Balances BPM6",2024Q1,Current account,14891
"Current, Capital and Financial Account Balances BPM6",2024Q1,Capital account,-12999
"Current, Capital and Financial Account Balances BPM6",2024Q1,Merchandise,38814
"Current, Capital and Financial Account Balances BPM6",2024Q1,Services,9294
"Current, Capital and Financial Account Balances BPM6",2024Q1,Primary income,-32043
"Current, Capital and Financial Account Balances BPM6",2024Q1,Invisibles,-23923
"Current, Capital and Financial Account Balances BPM6",2024Q1,Secondary income,-1174
"Current, Capital and Financial Account Balances BPM6",2024Q1,Financial account,10789
"Current, Capital and Financial Account Balances BPM6",2024Q1,Net Errors and omissions,8897
"Current, Capital and Financial Account Balances BPM6",2024Q1,Direct investment,14211
"Current, Capital and Financial Account Balances BPM6",2024Q1,Portfolio investment,33405
"Current, Capital and Financial Account Balances BPM6",2024Q1,Other investment,-36741
